key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
"openai|nova|0.85||W: How do you feel about the upcoming high school entrance exam?
M: A little nervous, but I've been preparing hard.","W: How do you feel about the upcoming high school entrance exam?
M: A little nervous, but I've been preparing hard.",created,200,166560,no,,1,openai
"openai|nova|0.85||W: Have you signed up for the beach cleanup?
M: Yes, I'll go this Saturday with my classmates.","W: Have you signed up for the beach cleanup?
M: Yes, I'll go this Saturday with my classmates.",created,200,131520,no,,1,openai
"openai|nova|0.85||W: Mike, what do you usually do in your free time?
M: I love watching movies. I watch at least two movies every week.
W: Cool! What kind of movies do you like best?
M: Action movies and science fiction. I'm crazy about superhero films.
W: Have you seen the new Spider-Man movie?
M: Yes, twice already! It's the best one I've seen this year.
W: What about reading? Do you enjoy reading too?
M: Honestly, not as much as movies. But I do read comic books sometimes.
W: My hobby is different. I love painting. It's relaxing after a long day at school.
M: Painting? Are you good at it?
W: I'm getting better. I've been taking lessons for two years. I want to enter a competition next month.
M: Good luck! I'd love to see your paintings sometime.","W: Mike, what do you usually do in your free time?
M: I love watching movies. I watch at least two movies every week.
W: Cool! What kind of movies do you like best?
M: Action movies and science fiction. I'm crazy about superhero films.
W: Have you seen the new Spider-Man movie?
M: Yes, twice already! It's the best one I've seen this year.
W: What about reading? Do you enjoy reading too?
M: Honestly, not as much as movies. But I do read comic books sometimes.
W: My hobby is different. I love painting. It's relaxing after a long day at school.
M: Painting? Are you good at it?
W: I'm getting better. I've been taking lessons for two years. I want to enter a competition next month.
M: Good luck! I'd love to see your paintings sometime.",created,200,1038240,no,,1,openai
"openai|nova|0.85||W: I'm going to help at the animal shelter this Saturday. Want to come?
M: Sure! I'd love to help take care of the dogs.","W: I'm going to help at the animal shelter this Saturday. Want to come?
M: Sure! I'd love to help take care of the dogs.",created,200,169920,no,,1,openai
"openai|nova|0.85||W: We should plant more trees to fight climate change.
M: Absolutely. Every tree counts.","W: We should plant more trees to fight climate change.
M: Absolutely. Every tree counts.",created,200,122880,no,,1,openai
"openai|nova|0.85||W: How do you handle exam stress?
M: I take deep breaths and remind myself I've prepared well.","W: How do you handle exam stress?
M: I take deep breaths and remind myself I've prepared well.",created,200,135360,no,,1,openai
"openai|nova|0.85||M: Did you hear about the new bike-sharing program in our city?
W: Yes, it's great. It encourages people to use less cars.","M: Did you hear about the new bike-sharing program in our city?
W: Yes, it's great. It encourages people to use less cars.",created,200,158400,no,,1,openai
"openai|nova|0.85||M: Why are you carrying a reusable bag?
W: To reduce plastic waste. We should all do our part.","M: Why are you carrying a reusable bag?
W: To reduce plastic waste. We should all do our part.",created,200,133920,no,,1,openai
"openai|nova|0.85||M: What kind of books do you like?
W: I prefer science fiction. They open up my imagination.","M: What kind of books do you like?
W: I prefer science fiction. They open up my imagination.",created,200,127200,no,,1,openai
"openai|nova|0.85||M: I'm so bored. There's nothing to do.
W: Why don't we go to the new shopping mall? It opened last weekend.","M: I'm so bored. There's nothing to do.
W: Why don't we go to the new shopping mall? It opened last weekend.",created,200,137280,no,,1,openai
