key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
"elevenlabs|el:lily|0.8||Girls, you are best friends, right?","Girls, you are best friends, right?",created,200,89856,no,,1,openai
elevenlabs|el:lily|0.8||Yes! We have been best friends for three years.,Yes! We have been best friends for three years.,created,200,72480,no,,1,openai
elevenlabs|el:lily|0.8||Do you think you two are similar or different?,Do you think you two are similar or different?,created,200,57984,no,,1,openai
elevenlabs|el:lily|0.8||We have different personalities. Linda is very funny and loves telling jokes. I am much quieter than her.,We have different personalities. Linda is very funny and loves telling jokes. I am much quieter than her.,created,200,163200,no,,1,openai
"elevenlabs|el:lily|0.8||Because we share the same hobbies. We both love music. Mary plays the piano better than I do, and I am better at singing.","Because we share the same hobbies. We both love music. Mary plays the piano better than I do, and I am better at singing.",created,200,150528,no,,1,openai
"elevenlabs|el:lily|0.8||In 20 years, students probably will not go to a school building every day. Instead, they will study at home or any place they want through VR technology.","In 20 years, students probably will not go to a school building every day. Instead, they will study at home or any place they want through VR technology.",created,200,198144,no,,1,openai
"elevenlabs|el:lily|0.8||AI teachers will help answer questions. However, real teachers will still be important because they can understand students emotions better.","AI teachers will help answer questions. However, real teachers will still be important because they can understand students emotions better.",created,200,219840,no,,1,openai
elevenlabs|el:lily|0.8||You will see robots working everywhere. China robotics industry is growing fast. Robots will make our life easier. We will have service robots.,You will see robots working everywhere. China robotics industry is growing fast. Robots will make our life easier. We will have service robots.,created,200,178176,no,,1,openai
elevenlabs|el:lily|0.8||Do you think robots will replace humans one day?,Do you think robots will replace humans one day?,created,200,74880,no,,1,openai
"openai|echo|0.8||No, I do not. Our creativity and emotional intelligence are important for relationships. AI will not replace humans for those things.","No, I do not. Our creativity and emotional intelligence are important for relationships. AI will not replace humans for those things.",created,200,206400,no,,1,openai
elevenlabs|el:lily|0.8||A smart refrigerator will know what you need and order food for you when you are running low. It will save us a lot of time.,A smart refrigerator will know what you need and order food for you when you are running low. It will save us a lot of time.,created,200,157056,no,,1,openai
elevenlabs|el:lily|0.8||I believe these dreams will come true as long as I study hard and keep on trying. I will create my own works of art too.,I believe these dreams will come true as long as I study hard and keep on trying. I will create my own works of art too.,created,200,190080,no,,1,openai
