autoplay_path,source_type,source_ref,record_id,field,raw_text,speed,cache_key,cdn_url,verdict
spelling-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v1_u4#vocab[0],vocabulary.en@spelling,study,0.95,elevenlabs|el:lily|0.95||study,https://audio.bigmooneducation.com/ab/ab68a4ab31a687fc9a07dd18e18e782d8741db0c75b7e44d52c433cdb3281e72.mp3,C3_MISSING
spelling-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v1_u4#vocab[2],vocabulary.en@spelling,hike,0.95,elevenlabs|el:lily|0.95||hike,https://audio.bigmooneducation.com/89/89f0caffcdbf1c21c65614ed69a12b6d977cd0bc09e6d8299259e9de84acd0b5.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v1_u5#vocab[4],vocabulary.en,police officer,0.85,elevenlabs|el:lily|0.85||police officer,https://audio.bigmooneducation.com/d5/d5c385b727ede873c7d4054c95732416315e7203ae23aaea5096a3c1f3569f53.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v1_u6#vocab[5],vocabulary.en,see a doctor,0.85,elevenlabs|el:lily|0.85||see a doctor,https://audio.bigmooneducation.com/1b/1bb4c4ad623f5a7fd1292dc3ef11de9fd8b03829dfc9556b8681dbae06bed8f6.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u2#vocab[4],vocabulary.en,had,0.85,elevenlabs|el:lily|0.85||had,https://audio.bigmooneducation.com/5d/5de2a5c55a210f4353b89545ba331306a917d18bc0d18c132bd8393026e8636f.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u2#vocab[6],vocabulary.en,slept,0.85,elevenlabs|el:lily|0.85||slept,https://audio.bigmooneducation.com/ae/aeff08f25af75a5db6a3b54f3896c68fa5faa5323264f3330956e5548cea5922.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u2#vocab[7],vocabulary.en,read,0.85,elevenlabs|el:lily|0.85||read,https://audio.bigmooneducation.com/86/86cdf8ddb47b7280db476f6da827aaff297d51f670c8b0e111efb418adcb89d3.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u3#vocab[0],vocabulary.en,went,0.85,elevenlabs|el:lily|0.85||went,https://audio.bigmooneducation.com/44/446798e4b59017c43a2bf7c7de6bbe5e6eaa758cbbea36bed3b52a04e13342d6.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u3#vocab[2],vocabulary.en,went camping,0.85,elevenlabs|el:lily|0.85||went camping,https://audio.bigmooneducation.com/3d/3dbda858cce6b529b31e23d9fb6643c20145291ad75e78d085cbd4910e2ab1d0.mp3,C3_MISSING
game-autoplay,local_json:course,src/data/primaryHub/grade6.json,g6v2_u3#vocab[4],vocabulary.en,went fishing,0.85,elevenlabs|el:lily|0.85||went fishing,https://audio.bigmooneducation.com/02/0236653f093734637c0b2f719938122cf74d11005e22eb30eddd1f1f245ab82a.mp3,C3_MISSING
fc-autoplay:listen_and_choose_word,local_json:fc_seed,src/data/primaryHub/finalChallenge/grade5_v1_seed.json,fc_g5v1_lcw_01,audio,salad,1,elevenlabs|el:lily|1||salad,https://audio.bigmooneducation.com/46/469797df34c4bb31cc1c6d2ed692b6845dfbba579a6571f11b109b8c00c897df.mp3,C3_MISSING
fc-autoplay:listen_and_choose_word,local_json:fc_seed,src/data/primaryHub/finalChallenge/grade5_v1_seed.json,fc_g5v1_lcw_02,audio,funny,1,elevenlabs|el:lily|1||funny,https://audio.bigmooneducation.com/b1/b13ea61fcc29dc2ddf1a18c8050a85c0287bf6a2009f9978a51b35a5eb8b6ff2.mp3,C1_SUSPICIOUS_SMALL
