word_id,book,unit,word,gloss,printed_page,pdf_page
W0001,primary_3A,Unit 3,arm,胳膊,28,33
W0002,primary_3A,Unit 1,bag,包,8,13
W0003,primary_3A,Unit 4,bear,熊,39,44
W0004,primary_3A,Unit 4,bird,鸟,42,47
W0005,primary_3A,Unit 2,black,黑色；黑色的,18,23
W0006,primary_3A,Unit 2,blue,蓝色；蓝色的,15,20
W0007,primary_3A,Unit 3,body,身体,28,33
W0008,primary_3A,Unit 1,book,书,8,13
W0009,primary_3A,Unit 5,bread,面包,49,54
W0010,primary_3A,Unit 6,brother,兄；弟,61,66
W0011,primary_3A,Unit 2,brown,棕色；棕色的,18,23
W0012,primary_3A,Unit 5,cake,蛋糕,52,57
W0013,primary_3A,Unit 4,cat,猫,39,44
W0014,primary_3A,Unit 1,crayon,蜡笔,5,10
W0015,primary_3A,Unit 4,dog,狗,39,44
W0016,primary_3A,Unit 4,duck,鸭子,39,44
W0017,primary_3A,Unit 3,ear,耳朵,25,30
W0018,primary_3A,Unit 5,egg,蛋,49,54
W0019,primary_3A,Unit 6,eight,八,62,67
W0020,primary_3A,Unit 4,elephant,大象,42,47
W0021,primary_3A,Unit 1,eraser,橡皮,5,10
W0022,primary_3A,Unit 3,eye,眼睛,25,30
W0023,primary_3A,Unit 3,face,脸,25,30
W0024,primary_3A,Unit 5,fish,鱼肉；鱼,52,57
W0025,primary_3A,Unit 6,five,五,59,64
W0026,primary_3A,Unit 3,foot,脚,28,33
W0027,primary_3A,Unit 6,four,四,59,64
W0028,primary_3A,Unit 4,funny,滑稽的；好笑的,41,46
W0029,primary_3A,Unit 2,green,绿色；绿色的,15,20
W0030,primary_3A,Unit 3,hand,手,28,33
W0031,primary_3A,Unit 3,head,头,28,33
W0032,primary_3A,Unit 5,juice,果汁,49,54
W0033,primary_3A,Unit 3,leg,腿,28,33
W0034,primary_3A,Unit 2,red,红色；红色的,15,20
W0035,primary_3A,Unit 5,rice,米饭,52,57
W0036,primary_3A,Unit 5,milk,牛奶,49,54
W0037,primary_3A,Unit 1,ruler,尺子,5,10
W0038,primary_3A,Unit 3,school,学校,24,29
W0039,primary_3A,Unit 4,monkey,猴子,42,47
W0040,primary_3A,Unit 3,mouth,嘴,25,30
W0041,primary_3A,Unit 6,mum,妈妈 seven 七,62,67
W0042,primary_3A,Unit 6,six,六,62,67
W0043,primary_3A,Unit 6,nine,九,62,67
W0044,primary_3A,Unit 6,ten,十,62,67
W0045,primary_3A,Unit 1,no,不,8,13
W0046,primary_3A,Unit 6,three,三,59,64
W0047,primary_3A,Unit 3,nose,鼻子,25,30
W0048,primary_3A,Unit 4,tiger,老虎,42,47
W0049,primary_3A,Unit 6,two,二,59,64
W0050,primary_3A,Unit 2,OK,好；行,18,23
W0051,primary_3A,Unit 5,water,水,52,57
W0052,primary_3A,Unit 6,one,一,59,64
W0053,primary_3A,Unit 2,orange,橙色；橙色的,18,23
W0054,primary_3A,Unit 2,white,白色；白色的,18,23
W0055,primary_3A,Unit 4,panda,大熊猫,42,47
W0056,primary_3A,Unit 2,yellow,黄色；黄色的,15,20
W0057,primary_3A,Unit 1,pen,钢笔,8,13
W0058,primary_3A,Unit 1,your,你（们）的,8,13
W0059,primary_3A,Unit 1,pencil,铅笔,5,10
W0060,primary_3A,Unit 1,pencil box,铅笔盒,8,13
W0061,primary_3A,Unit 4,zoo,动物园,42,47
W0062,primary_3A,Unit 4,pig,猪,39,44
W0063,primary_3A,Unit 6,plate,盘子,58,63
W0064,primary_3B,Unit 1,and,和；与,4,9
W0065,primary_3B,Unit 5,apple,苹果,49,54
W0066,primary_3B,Unit 4,ball,球,42,47
W0067,primary_3B,Unit 5,banana,香蕉,49,54
W0068,primary_3B,Unit 6,beautiful,美丽的,58,63
W0069,primary_3B,Unit 3,big,大的,28,33
W0070,primary_3B,Unit 4,boat,小船,42,47
W0071,primary_3B,Unit 4,box,盒；箱,41,46
W0072,primary_3B,Unit 1,boy,男孩,4,9
W0073,primary_3B,Unit 2,brother,兄；弟,18,23
W0074,primary_3B,Unit 5,buy,买,48,53
W0075,primary_3B,Unit 1,Canada,加拿大,5,10
W0076,primary_3B,Unit 4,cap,帽子,42,47
W0077,primary_3B,Unit 4,car,小汽车,42,47
W0078,primary_3B,Unit 4,chair,椅子,39,44
W0079,primary_3B,Unit 3,children,（child 的复数）儿童,27,32
W0080,primary_3B,Unit 1,China,中国,5,10
W0081,primary_3B,Unit 2,dad,（口语）爸爸；爹爹,15,20
W0082,primary_3B,Unit 4,desk,书桌,39,44
W0083,primary_3B,Unit 6,eighteen,十八,62,67
W0084,primary_3B,Unit 6,eleven,十一,59,64
W0085,primary_3B,Unit 2,family,家；家庭,18,23
W0086,primary_3B,Unit 3,fat,胖的；肥的,25,30
W0087,primary_3B,Unit 2,father,父亲；爸爸,15,20
W0088,primary_3B,Unit 6,fi fteen,十五,59,64
W0089,primary_3B,Unit 6,fourteen,十四,59,64
W0090,primary_3B,Unit 1,friend,朋友,4,9
W0091,primary_3B,Unit 5,fruit,水果,48,53
W0092,primary_3B,Unit 3,giraffe,长颈鹿,24,29
W0093,primary_3B,Unit 1,girl,女孩,4,9
W0094,primary_3B,Unit 2,grandfather,（外）祖父,18,23
W0095,primary_3B,Unit 2,grandma,（口语）（外）祖母,18,23
W0096,primary_3B,Unit 2,grandmother,（外）祖母,18,23
W0097,primary_3B,Unit 2,grandpa,（口语）（外）祖父,18,23
W0098,primary_3B,Unit 5,grape,葡萄,52,57
W0099,primary_3B,Unit 1,he,他,8,13
W0100,primary_3B,Unit 3,short,"矮的；短的 ,28",25,30
W0101,primary_3B,Unit 2,sister,姐；妹,18,23
W0102,primary_3B,Unit 6,sixteen,十六,62,67
W0103,primary_3B,Unit 4,in,在⋯⋯里,39,44
W0104,primary_3B,Unit 3,small,小的,28,33
W0105,primary_3B,Unit 3,so,这么；那么,24,29
W0106,primary_3B,Unit 5,strawberry,草莓,52,57
W0107,primary_3B,Unit 6,kite,风筝,58,63
W0108,primary_3B,Unit 1,student,学生,8,13
W0109,primary_3B,Unit 3,tail,尾巴,27,32
W0110,primary_3B,Unit 3,long,长的,28,33
W0111,primary_3B,Unit 3,tall,高的,25,30
W0112,primary_3B,Unit 1,teacher,教师,8,13
W0113,primary_3B,Unit 2,man,男人,15,20
W0114,primary_3B,Unit 3,thin,瘦的,25,30
W0115,primary_3B,Unit 6,thirteen,十三,59,64
W0116,primary_3B,Unit 4,map,地图,42,47
W0117,primary_3B,Unit 1,today,今天,4,9
W0118,primary_3B,Unit 2,mother,母亲；妈妈,15,20
W0119,primary_3B,Unit 4,toy,玩具,41,46
W0120,primary_3B,Unit 6,twelve,十二,59,64
W0121,primary_3B,Unit 1,new,新的,4,9
W0122,primary_3B,Unit 6,twenty,二十,62,67
W0123,primary_3B,Unit 6,nineteen,十九,62,67
W0124,primary_3B,Unit 1,UK,英国,5,10
W0125,primary_3B,Unit 4,on,在⋯⋯上,39,44
W0126,primary_3B,Unit 4,under,在⋯⋯下面,39,44
W0127,primary_3B,Unit 1,USA,美国,5,10
W0128,primary_3B,Unit 5,orange,橙子,49,54
W0129,primary_3B,Unit 5,watermelon pear,梨,49,54
W0130,primary_3B,Unit 1,pupil,学生； （尤指）小学生,8,13
W0131,primary_3B,Unit 2,woman,女人,15,20
W0132,primary_3B,Unit 6,seventeen,十七,62,67
W0133,primary_3B,Unit 1,she,她,8,13
W0134,primary_4A,Unit 6,aunt,姑母；姨母,59,64
W0135,primary_4A,Unit 6,baby brother,婴儿小弟弟,59,64
W0136,primary_4A,Unit 6,basketball,篮球 bathroom 浴室；洗手间 p.39 bed 床 p.42 bedroom 卧室 p.39 beef 牛肉 p.49 blackboard 黑板 p.5 bowl 碗 p.52 but 但是 p.58,63,68
W0137,primary_4A,Unit 2,candy,糖果 chicken 鸡肉 p.49 Chinese book 语文书 p.15,18,23
W0138,primary_4A,Unit 5,chopsticks,筷子 classroom 教室 p.5 clean 打扫 p.7 computer 计算机 p.8 cook 厨师 p.62 cousin 同辈表亲 （或堂亲） p.59 cute 可爱的 p.19,52,57
W0139,primary_4A,Unit 5,dinner,（中午或晚上吃的） 正餐,48,53
