word_id,word,pos,meaning_cn,stage,grade,volume,unit,source_type,source_page,confidence
jr-8B-U1-0001,matter,n.,问题;事情,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0002,What's the matter?,,怎么了?出什么事了?,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0003,sore,adj.,疼痛的;酸痛的,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0004,have a cold,,感冒,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0005,stomachache,n.,胃痛;腹痛,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0006,have a stomachache,,胃痛,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0007,foot,n.,脚;足,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0008,neck,n.,颈;脖子,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0009,stomach,n.,胃;腹部,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0010,throat,n.,咽喉;喉咙,junior,8,8B,U1,wordlist,p.1,high
jr-8B-U1-0011,fever,n.,发烧,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0012,lie,v.,躺;平躺(lay),junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0013,lie down,,躺下,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0014,rest,v. & n.,放松;休息,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0015,cough,n. & v.,咳嗽,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0016,X-ray,n.,X射线;X光,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0017,toothache,n.,牙痛,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0018,take one's temperature,,量体温,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0019,headache,n.,头痛,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0020,have a fever,,发烧,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0021,break,n.,间歇;休息,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0022,take breaks (take a break),,休息,junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0023,hurt,v.,(使)疼痛;受伤(hurt/hurt),junior,8,8B,U1,wordlist,p.2,high
jr-8B-U1-0024,passenger,n.,乘客;旅客,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0025,off,adv. & prep.,离开(某处);不工作;从……去掉,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0026,get off,,下车,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0027,to one's surprise,,使……惊讶的是;出乎……的意料,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0028,onto,prep.,向;朝,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0029,trouble,n.,问题;苦恼,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0030,hit,v.,击;打(hit/hit)(用手或器具),junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0031,right away,,立即;马上,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0032,get into,,陷入;参与,junior,8,8B,U1,wordlist,p.3,high
jr-8B-U1-0033,herself,pron.,(she的反身代词)她自己,junior,8,8B,U1,wordlist,p.4,high
jr-8B-U1-0034,bandage,n. v.,绷带;用绷带包扎,junior,8,8B,U1,wordlist,p.5,high
jr-8B-U1-0035,press,v.,压;挤;按,junior,8,8B,U1,wordlist,p.5,high
jr-8B-U1-0036,sick,adj.,生病的;有病的,junior,8,8B,U1,wordlist,p.5,high
jr-8B-U1-0037,knee,n.,膝;膝盖,junior,8,8B,U1,wordlist,p.5,high
jr-8B-U1-0038,nosebleed,n.,鼻出血,junior,8,8B,U1,wordlist,p.5,high
jr-8B-U1-0039,breathe,v.,呼吸,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0040,sunburned,adj.,晒伤的,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0041,ourselves,pron.,(we的反身代词)我们自己,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0042,climber,n.,登山者;攀登者,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0043,be used to,,习惯于……;适应于……,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0044,risk,n. & v.,危险;风险;冒险,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0045,take risks (take a risk),,冒险,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0046,accident,n.,(交通)事故;意外遭遇,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0047,situation,n.,情况;状况,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0048,kilo,n.,千克;公斤(= kilogram),junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0049,rock,n.,岩石,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0050,run out (of),,用尽;耗尽,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0051,knife,n.,刀(pl. knives),junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0052,cut off,,切除,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0053,blood,n.,血,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0054,mean,v.,意思是;打算;意欲(meant/meant),junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0055,get out of,,离开;从……出来,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0056,importance,n.,重要性;重要,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0057,decision,n.,决定;抉择,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0058,control,n. & v.,限制;约束;管理,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0059,be in control of,,掌管;管理,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0060,spirit,n.,勇气;意志,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0061,death,n.,死;死亡,junior,8,8B,U1,wordlist,p.6,high
jr-8B-U1-0062,give up,,放弃,junior,8,8B,U1,wordlist,p.7,high
jr-8B-U1-0063,nurse,n.,护士,junior,8,8B,U1,wordlist,p.8,high
jr-8B-U1-0064,Judy,,朱迪(女名),junior,8,8B,U1,recognize,p.1,high
jr-8B-U1-0065,Nancy,,南希(女名),junior,8,8B,U1,recognize,p.1,high
jr-8B-U1-0066,Mandy,,曼迪(女名),junior,8,8B,U1,recognize,p.2,high
jr-8B-U1-0067,Aron Ralston,,阿伦·罗尔斯顿,junior,8,8B,U1,recognize,p.6,high
jr-8B-U1-0068,Utah,,犹他州(美国),junior,8,8B,U1,recognize,p.6,high
jr-8B-U2-0001,clean up,,打扫(或清除)干净,junior,8,8B,U2,wordlist,p.9,high
jr-8B-U2-0002,cheer,v.,欢呼;喝彩,junior,8,8B,U2,wordlist,p.9,high
jr-8B-U2-0003,cheer up,,(使)变得更高兴;振奋起来,junior,8,8B,U2,wordlist,p.9,high
jr-8B-U2-0004,give out,,分发;散发,junior,8,8B,U2,wordlist,p.9,high
jr-8B-U2-0005,volunteer,v. n.,义务做;自愿做;志愿者,junior,8,8B,U2,wordlist,p.9,high
jr-8B-U2-0006,come up with,,想出;提出(主意、计划、回答等),junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0007,put off,,推迟,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0008,sign,n.,标志;信号,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0009,notice,n. v.,通知;通告;注意;注意到;意识到,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0010,hand out,,分发,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0011,call up,,打电话给(某人);征召,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0012,used to,,曾经……;过去……,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0013,lonely,adj.,孤独的;寂寞的,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0014,care for,,照顾;非常喜欢,junior,8,8B,U2,wordlist,p.10,high
jr-8B-U2-0015,several,pron.,几个;数个;一些,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0016,strong,adj.,强烈的;强壮的,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0017,feeling,n.,感觉;感触,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0018,satisfaction,n.,满足;满意,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0019,joy,n.,高兴;愉快,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0020,owner,n.,物主;主人,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0021,try out,,参加……选拔;试用,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0022,journey,n.,(尤指长途)旅行;行程,junior,8,8B,U2,wordlist,p.11,high
jr-8B-U2-0023,raise,v.,募集;征集,junior,8,8B,U2,wordlist,p.12,high
jr-8B-U2-0024,midnight,n.,午夜;子夜,junior,8,8B,U2,wordlist,p.12,high
