key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
elevenlabs|el:lily|0.85||make somebody's bed,make somebody's bed,created,200,31872,no,,1,openai
elevenlabs|el:lily|0.8||make somebody's bed,make somebody's bed,created,200,47616,no,,1,openai
elevenlabs|el:lily|0.7||make somebody's bed,make somebody's bed,created,200,52992,no,,1,openai
openai|nova|0.85||make somebody's bed,make somebody's bed,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||put oneself in somebody's shoes,put oneself in somebody's shoes,created,200,57984,no,,1,openai
elevenlabs|el:lily|0.8||put oneself in somebody's shoes,put oneself in somebody's shoes,created,200,67584,no,,1,openai
elevenlabs|el:lily|0.7||put oneself in somebody's shoes,put oneself in somebody's shoes,created,200,77184,no,,1,openai
openai|nova|0.85||put oneself in somebody's shoes,put oneself in somebody's shoes,created,200,56064,no,,1,openai
elevenlabs|el:lily|0.8||share something with somebody,share something with somebody,created,200,47616,no,,1,openai
elevenlabs|el:lily|0.7||share something with somebody,share something with somebody,created,200,59904,no,,1,openai
openai|nova|0.85||share something with somebody,share something with somebody,created,200,55296,no,,1,openai
elevenlabs|el:lily|0.85||show somebody around,show somebody around,created,200,48768,no,,1,openai
elevenlabs|el:lily|0.8||show somebody around,show somebody around,created,200,46848,no,,1,openai
elevenlabs|el:lily|0.7||show somebody around,show somebody around,created,200,41472,no,,1,openai
openai|nova|0.85||show somebody around,show somebody around,created,200,49920,no,,1,openai
elevenlabs|el:lily|0.8||ready to do something,ready to do something,created,200,47616,no,,1,openai
elevenlabs|el:lily|0.7||ready to do something,ready to do something,created,200,38016,no,,1,openai
openai|nova|0.85||ready to do something,ready to do something,created,200,51456,no,,1,openai
elevenlabs|el:lily|0.85||stick to something,stick to something,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.8||stick to something,stick to something,created,200,30720,no,,1,openai
elevenlabs|el:lily|0.7||stick to something,stick to something,created,200,36864,no,,1,openai
openai|nova|0.85||stick to something,stick to something,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||be friends with somebody.,be friends with somebody.,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.8||be friends with somebody.,be friends with somebody.,created,200,53760,no,,1,openai
elevenlabs|el:lily|0.7||be friends with somebody.,be friends with somebody.,created,200,48384,no,,1,openai
openai|nova|0.85||be friends with somebody.,be friends with somebody.,created,200,44160,no,,1,openai
elevenlabs|el:lily|0.85||to somebody's surprise,to somebody's surprise,created,200,49920,no,,1,openai
elevenlabs|el:lily|0.8||to somebody's surprise,to somebody's surprise,created,200,44928,no,,1,openai
elevenlabs|el:lily|0.7||to somebody's surprise,to somebody's surprise,created,200,52992,no,,1,openai
openai|nova|0.85||to somebody's surprise,to somebody's surprise,created,200,55296,no,,1,openai
elevenlabs|el:lily|0.8||give somebody a lift,give somebody a lift,created,200,56832,no,,1,openai
elevenlabs|el:lily|0.7||give somebody a lift,give somebody a lift,created,200,54144,no,,1,openai
openai|nova|0.85||give somebody a lift,give somebody a lift,created,200,46080,no,,1,openai
elevenlabs|el:lily|0.85||move on (to something),move on (to something),created,200,48000,no,,1,openai
elevenlabs|el:lily|0.8||move on (to something),move on (to something),created,200,46848,no,,1,openai
elevenlabs|el:lily|0.7||move on (to something),move on (to something),created,200,55296,no,,1,openai
openai|nova|0.85||move on (to something),move on (to something),created,200,41088,no,,1,openai
elevenlabs|el:lily|0.7||cut something in/into something,cut something in/into something,created,200,86400,no,,1,openai
openai|nova|0.85||cut something in/into something,cut something in/into something,created,200,54144,no,,1,openai
elevenlabs|el:lily|0.85||succeed in doing something,succeed in doing something,created,200,48000,no,,1,openai
elevenlabs|el:lily|0.8||succeed in doing something,succeed in doing something,created,200,45696,no,,1,openai
elevenlabs|el:lily|0.7||succeed in doing something,succeed in doing something,created,200,87168,no,,1,openai
openai|nova|0.85||succeed in doing something,succeed in doing something,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.7||take somebody's breath away,take somebody's breath away,created,200,57600,no,,1,openai
openai|nova|0.85||take somebody's breath away,take somebody's breath away,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||argue with somebody,argue with somebody,created,200,41088,no,,1,openai
elevenlabs|el:lily|0.8||argue with somebody,argue with somebody,created,200,45696,no,,1,openai
elevenlabs|el:lily|0.7||argue with somebody,argue with somebody,created,200,69120,no,,1,openai
openai|nova|0.85||argue with somebody,argue with somebody,created,200,53376,no,,1,openai
elevenlabs|el:lily|0.85||drive somebody. crazy,drive somebody. crazy,created,200,43008,no,,1,openai
elevenlabs|el:lily|0.8||drive somebody. crazy,drive somebody. crazy,created,200,56832,no,,1,openai
elevenlabs|el:lily|0.7||drive somebody. crazy,drive somebody. crazy,created,200,63744,no,,1,openai
openai|nova|0.85||drive somebody. crazy,drive somebody. crazy,created,200,49920,no,,1,openai
elevenlabs|el:lily|0.7||have something in common,have something in common,created,200,61056,no,,1,openai
openai|nova|0.85||have something in common,have something in common,created,200,54144,no,,1,openai
elevenlabs|el:lily|0.7||along with somebody/something,along with somebody/something,skipped,200,70272,no,,0,
openai|nova|0.85||along with somebody/something,along with somebody/something,created,200,51456,no,,1,openai
elevenlabs|el:lily|0.85||be glued to something,be glued to something,created,200,44160,no,,1,openai
elevenlabs|el:lily|0.8||be glued to something,be glued to something,created,200,47616,no,,1,openai
elevenlabs|el:lily|0.7||be glued to something,be glued to something,skipped,200,54144,no,,0,
openai|nova|0.85||be glued to something,be glued to something,created,200,57984,no,,1,openai
elevenlabs|el:lily|0.85||put something. to good use,put something. to good use,skipped,200,59136,no,,0,
elevenlabs|el:lily|0.8||put something. to good use,put something. to good use,created,200,77952,no,,1,openai
elevenlabs|el:lily|0.7||put something. to good use,put something. to good use,created,200,57600,no,,1,openai
openai|nova|0.85||put something. to good use,put something. to good use,created,200,44928,no,,1,openai
elevenlabs|el:lily|0.85||show interest in something,show interest in something,created,200,76032,no,,1,openai
elevenlabs|el:lily|0.8||show interest in something,show interest in something,created,200,46848,no,,1,openai
elevenlabs|el:lily|0.7||show interest in something,show interest in something,created,200,52992,no,,1,openai
openai|nova|0.85||show interest in something,show interest in something,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||lend (somebody) a hand,lend (somebody) a hand,created,200,54144,no,,1,openai
elevenlabs|el:lily|0.8||lend (somebody) a hand,lend (somebody) a hand,created,200,50688,no,,1,openai
elevenlabs|el:lily|0.7||lend (somebody) a hand,lend (somebody) a hand,created,200,74880,no,,1,openai
openai|nova|0.85||lend (somebody) a hand,lend (somebody) a hand,created,200,52224,no,,1,openai
elevenlabs|el:lily|0.85||kick somebody. off,kick somebody. off,created,200,43008,no,,1,openai
elevenlabs|el:lily|0.8||kick somebody. off,kick somebody. off,created,200,51840,no,,1,openai
elevenlabs|el:lily|0.7||kick somebody. off,kick somebody. off,created,200,44928,no,,1,openai
openai|nova|0.85||kick somebody. off,kick somebody. off,skipped,200,39552,no,,0,
elevenlabs|el:lily|0.8||add something to something,add something to something,created,200,56832,no,,1,openai
elevenlabs|el:lily|0.7||add something to something,add something to something,created,200,71424,no,,1,openai
openai|nova|0.85||add something to something,add something to something,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.85||take somebody's temperature,take somebody's temperature,created,200,57216,no,,1,openai
elevenlabs|el:lily|0.8||take somebody's temperature,take somebody's temperature,skipped,200,54528,no,,0,
elevenlabs|el:lily|0.7||take somebody's temperature,take somebody's temperature,created,200,81792,no,,1,openai
openai|nova|0.85||take somebody's temperature,take somebody's temperature,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||unlock the secrets of something,unlock the secrets of something,created,200,71424,no,,1,openai
