key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
"elevenlabs|el:lily|0.8||When the wildfire spread, trucks were carrying water to the neighbourhood.","When the wildfire spread, trucks were carrying water to the neighbourhood.",created,200,116160,no,,1,openai
"elevenlabs|el:lily|0.8||During the drought, volunteers were making preparations and bringing supplies to the village.","During the drought, volunteers were making preparations and bringing supplies to the village.",created,200,145440,no,,1,openai
"elevenlabs|el:lily|0.8||Last month I read a mystery novel. At first the story was slow, but the climax near the end was so exciting that I could not put it down.","Last month I read a mystery novel. At first the story was slow, but the climax near the end was so exciting that I could not put it down.",created,200,172032,no,,1,openai
"elevenlabs|el:lily|0.8||W: What does this charity provide for people in need? M: It provides food, shelter and other practical help.","W: What does this charity provide for people in need? M: It provides food, shelter and other practical help.",created,200,163680,no,,1,openai
elevenlabs|el:lily|0.8||She feels lonely because all her friends are away.,She feels lonely because all her friends are away.,created,200,80160,no,,1,openai
elevenlabs|el:lily|0.8||I have a runny nose and feel pain all over.,I have a runny nose and feel pain all over.,created,200,69120,no,,1,openai
"elevenlabs|el:lily|0.8||W: You look pale. Do you have a fever? M: No, but I have a runny nose and a cough.","W: You look pale. Do you have a fever? M: No, but I have a runny nose and a cough.",created,200,121440,no,,1,openai
elevenlabs|el:lily|0.8||This life-saving charity is willing to provide a wide range of help.,This life-saving charity is willing to provide a wide range of help.,created,200,107520,no,,1,openai
elevenlabs|el:lily|0.8||Yoga helps me reduce stress after a busy school day.,Yoga helps me reduce stress after a busy school day.,created,200,82560,no,,1,openai
"elevenlabs|el:lily|0.8||When I feel blue, I talk to my parents so that I feel better.","When I feel blue, I talk to my parents so that I feel better.",created,200,95040,no,,1,openai
"elevenlabs|el:lily|0.8||W: I'm not sure which book to read. M: Did you consider this fantasy novel? It's based on an old kingdom. W: What happened in it? M: A brave girl defeated the enemy and saved her people. The climax was wonderful. W: Great, I'll read it first.","W: I'm not sure which book to read. M: Did you consider this fantasy novel? It's based on an old kingdom. W: What happened in it? M: A brave girl defeated the enemy and saved her people. The climax was wonderful. W: Great, I'll read it first.",created,200,362880,no,,1,openai
elevenlabs|el:lily|0.8||I want to decorate my bedroom with a big poster.,I want to decorate my bedroom with a big poster.,created,200,75840,no,,1,openai
"elevenlabs|el:lily|0.8||In the sci-fi novel I finished last night, the aliens attacked the city but people were not weak.","In the sci-fi novel I finished last night, the aliens attacked the city but people were not weak.",created,200,152160,no,,1,openai
"elevenlabs|el:lily|0.8||W: How did you like the mystery book I lent you? M: It was great. The story had a strong effect on me. W: Which part did you like best? M: The hidden secret at the climax. I never guessed it. W: Yes, that part surprised me too.","W: How did you like the mystery book I lent you? M: It was great. The story had a strong effect on me. W: Which part did you like best? M: The hidden secret at the climax. I never guessed it. W: Yes, that part surprised me too.",created,200,341280,no,,1,openai
"elevenlabs|el:lily|0.8||In some Western countries, friends hug or kiss on the cheek when they meet.","In some Western countries, friends hug or kiss on the cheek when they meet.",created,200,117600,no,,1,openai
