key,text,status,cdn_status,bytes,needs_purge,reason,attempts,provider
elevenlabs|el:lily|0.85||a long ruler,a long ruler,created,200,46848,no,,1,openai
elevenlabs|el:lily|0.85||my ruler,my ruler,created,200,19584,no,,1,openai
elevenlabs|el:lily|0.85||use a ruler,use a ruler,created,200,39552,no,,1,openai
elevenlabs|el:lily|0.85||a new pencil,a new pencil,created,200,38400,no,,1,openai
elevenlabs|el:lily|0.85||my pencil,my pencil,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a red pencil,a red pencil,created,200,41088,no,,1,openai
elevenlabs|el:lily|0.85||a small eraser,a small eraser,created,200,44928,no,,1,openai
elevenlabs|el:lily|0.85||my eraser,my eraser,created,200,42240,no,,1,openai
elevenlabs|el:lily|0.85||a new eraser,a new eraser,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||a red crayon,a red crayon,created,200,62976,no,,1,openai
elevenlabs|el:lily|0.85||my crayon,my crayon,created,200,39552,no,,1,openai
elevenlabs|el:lily|0.85||a box of crayons,a box of crayons,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.85||my bag,my bag,created,200,42240,no,,1,openai
elevenlabs|el:lily|0.85||a new bag,a new bag,created,200,39552,no,,1,openai
elevenlabs|el:lily|0.85||a school bag,a school bag,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||a blue pen,a blue pen,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||my pen,my pen,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.85||a new pen,a new pen,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||a new pencil box,a new pencil box,created,200,48768,no,,1,openai
elevenlabs|el:lily|0.85||my pencil box,my pencil box,created,200,38400,no,,1,openai
elevenlabs|el:lily|0.85||open the pencil box,open the pencil box,created,200,48768,no,,1,openai
elevenlabs|el:lily|0.85||a new book,a new book,created,200,30720,no,,1,openai
elevenlabs|el:lily|0.85||my book,my book,created,200,31872,no,,1,openai
elevenlabs|el:lily|0.85||read a book,read a book,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||a red apple,a red apple,created,200,30720,no,,1,openai
elevenlabs|el:lily|0.85||red and yellow,red and yellow,created,200,43008,no,,1,openai
elevenlabs|el:lily|0.85||show me red,show me red,created,200,52224,no,,1,openai
elevenlabs|el:lily|0.85||green grass,green grass,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||a green leaf,a green leaf,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||red and green,red and green,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||a yellow banana,a yellow banana,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||yellow and blue,yellow and blue,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||the yellow sun,the yellow sun,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||the blue sky,the blue sky,created,200,23424,no,,1,openai
elevenlabs|el:lily|0.85||blue and white,blue and white,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a black cat,a black cat,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||black and white,black and white,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||black shoes,black shoes,created,200,33792,no,,1,openai
elevenlabs|el:lily|0.85||a brown bear,a brown bear,created,200,51456,no,,1,openai
elevenlabs|el:lily|0.85||brown hair,brown hair,created,200,26112,no,,1,openai
elevenlabs|el:lily|0.85||a brown dog,a brown dog,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.85||white milk,white milk,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.85||a white cloud,a white cloud,created,200,38400,no,,1,openai
elevenlabs|el:lily|0.85||a sweet orange,a sweet orange,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||eat an orange,eat an orange,created,200,43008,no,,1,openai
elevenlabs|el:lily|0.85||my face,my face,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||wash my face,wash my face,created,200,64896,no,,1,openai
elevenlabs|el:lily|0.85||a happy face,a happy face,created,200,41088,no,,1,openai
elevenlabs|el:lily|0.85||my ears,my ears,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||two ears,two ears,created,200,38400,no,,1,openai
elevenlabs|el:lily|0.85||big ears,big ears,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||my eyes,my eyes,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||two eyes,two eyes,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.85||big eyes,big eyes,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||my nose,my nose,created,200,30720,no,,1,openai
elevenlabs|el:lily|0.85||a big nose,a big nose,created,200,66816,no,,1,openai
elevenlabs|el:lily|0.85||touch my nose,touch my nose,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||my mouth,my mouth,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||a big mouth,a big mouth,created,200,38400,no,,1,openai
elevenlabs|el:lily|0.85||open your mouth,open your mouth,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.85||my arms,my arms,created,200,57216,no,,1,openai
elevenlabs|el:lily|0.85||two arms,two arms,created,200,41088,no,,1,openai
elevenlabs|el:lily|0.85||a long arm,a long arm,created,200,30720,no,,1,openai
elevenlabs|el:lily|0.85||my hands,my hands,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||wash your hands,wash your hands,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||two hands,two hands,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||my head,my head,created,200,26112,no,,1,openai
elevenlabs|el:lily|0.85||a big head,a big head,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||touch your head,touch your head,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.7||Hello! I'm Chen Jie.,Hello! I'm Chen Jie.,created,200,54144,no,,1,openai
elevenlabs|el:lily|0.7||Let's make a puppet!,Let's make a puppet!,created,200,39168,no,,1,openai
elevenlabs|el:lily|0.7||Great!,Great!,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||a little duck,a little duck,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||a yellow duck,a yellow duck,created,200,28032,no,,1,openai
elevenlabs|el:lily|0.85||two ducks,two ducks,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a fat pig,a fat pig,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a pink pig,a pink pig,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a little pig,a little pig,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||my cat,my cat,created,200,21504,no,,1,openai
elevenlabs|el:lily|0.85||a little cat,a little cat,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||a big bear,a big bear,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||a teddy bear,a teddy bear,created,200,26112,no,,1,openai
elevenlabs|el:lily|0.85||a big dog,a big dog,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.85||my dog,my dog,created,200,34560,no,,1,openai
elevenlabs|el:lily|0.85||a little dog,a little dog,created,200,59136,no,,1,openai
elevenlabs|el:lily|0.85||a big elephant,a big elephant,created,200,39552,no,,1,openai
elevenlabs|el:lily|0.85||a grey elephant,a grey elephant,created,200,31872,no,,1,openai
elevenlabs|el:lily|0.85||two elephants,two elephants,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||a little monkey,a little monkey,created,200,42240,no,,1,openai
elevenlabs|el:lily|0.85||a funny monkey,a funny monkey,created,200,49920,no,,1,openai
elevenlabs|el:lily|0.85||two monkeys,two monkeys,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||a little bird,a little bird,created,200,29184,no,,1,openai
elevenlabs|el:lily|0.85||a bird sings,a bird sings,created,200,64896,no,,1,openai
elevenlabs|el:lily|0.85||two birds,two birds,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||What's this?,What's this?,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||It's a duck.,It's a duck.,created,200,29952,no,,1,openai
elevenlabs|el:lily|0.7||What's that?,What's that?,created,200,33408,no,,1,openai
elevenlabs|el:lily|0.7||It's a panda. I like it!,It's a panda. I like it!,created,200,73728,no,,1,openai
elevenlabs|el:lily|0.85||some bread,some bread,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||eat bread,eat bread,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||a piece of bread,a piece of bread,created,200,35328,no,,1,openai
elevenlabs|el:lily|0.85||some juice,some juice,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||orange juice,orange juice,created,200,27264,no,,1,openai
elevenlabs|el:lily|0.85||a glass of juice,a glass of juice,created,200,51456,no,,1,openai
elevenlabs|el:lily|0.85||an egg,an egg,created,200,24192,no,,1,openai
elevenlabs|el:lily|0.85||eat an egg,eat an egg,created,200,40320,no,,1,openai
elevenlabs|el:lily|0.85||two eggs,two eggs,created,200,36480,no,,1,openai
elevenlabs|el:lily|0.85||some milk,some milk,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||drink milk,drink milk,created,200,32640,no,,1,openai
elevenlabs|el:lily|0.85||a glass of milk,a glass of milk,created,200,37632,no,,1,openai
elevenlabs|el:lily|0.85||some water,some water,created,200,25344,no,,1,openai
elevenlabs|el:lily|0.85||drink water,drink water,created,200,30720,no,,1,openai
