source_type,source_ref,record_id,field,raw_text,normalized_text,cache_key,cdn_url
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0],vocabulary.en,ruler,ruler,elevenlabs|el:lily|0.85||ruler,https://audio.bigmooneducation.com/e5/e50cab122af74d725c4cd615aeef0231c96c458e670e6e5807e97c74a1401dc8.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0],vocabulary.en@spelling,ruler,ruler,elevenlabs|el:lily|0.75||ruler,https://audio.bigmooneducation.com/3f/3f9a9c3f930e765467604ab7b25c452c8733b2db7f8f1849e48d7fbc4f73b87d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0],vocabulary.en@listenWord,ruler,ruler,elevenlabs|el:lily|0.75||ruler,https://audio.bigmooneducation.com/3f/3f9a9c3f930e765467604ab7b25c452c8733b2db7f8f1849e48d7fbc4f73b87d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[0],chunks.en,a long ruler,a long ruler,elevenlabs|el:lily|0.85||a long ruler,https://audio.bigmooneducation.com/60/60b07b796a18a45357e31a7498e234be24aa445924686cfebb126d9fa87251ed.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[1],chunks.en,my ruler,my ruler,elevenlabs|el:lily|0.85||my ruler,https://audio.bigmooneducation.com/5e/5e4cf0ec095266fea41d00cf46b6b08eb649333acf18bffe24d1d20d030b0f14.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[0].chunks[2],chunks.en,use a ruler,use a ruler,elevenlabs|el:lily|0.85||use a ruler,https://audio.bigmooneducation.com/d5/d58f8eee25236bd575da499854c203afe3751bb34d9c2893ba0b4dfd1aafa3db.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1],vocabulary.en,pencil,pencil,elevenlabs|el:lily|0.85||pencil,https://audio.bigmooneducation.com/c6/c64c0bfb1a272a9fe9aff32f0d3a81c46d7123310922bea2c9e83af13ed860e3.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1],vocabulary.en@spelling,pencil,pencil,elevenlabs|el:lily|0.75||pencil,https://audio.bigmooneducation.com/8f/8f6a27c8f3c6f3522bca5848cfabc4182179b947e0d193b0bb6361170a6a67d4.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1],vocabulary.en@listenWord,pencil,pencil,elevenlabs|el:lily|0.75||pencil,https://audio.bigmooneducation.com/8f/8f6a27c8f3c6f3522bca5848cfabc4182179b947e0d193b0bb6361170a6a67d4.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[0],chunks.en,a new pencil,a new pencil,elevenlabs|el:lily|0.85||a new pencil,https://audio.bigmooneducation.com/9c/9cf49ac7eef22ab4fb3794f20fa7a65c870d8d84d0f46849a83ef22ba84f18cc.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[1],chunks.en,my pencil,my pencil,elevenlabs|el:lily|0.85||my pencil,https://audio.bigmooneducation.com/42/42a97d0ad3d4c522b37990aca802655cfa891eb55341804a400d9441cca38ea2.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[1].chunks[2],chunks.en,a red pencil,a red pencil,elevenlabs|el:lily|0.85||a red pencil,https://audio.bigmooneducation.com/6c/6c36dc460e1f406f3eabecdfe4a649af41e8ad00cd9495f0b6ddac5170003cd7.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2],vocabulary.en,eraser,eraser,elevenlabs|el:lily|0.85||eraser,https://audio.bigmooneducation.com/a6/a662f6cc9c42291485411f145fb722a0761227d67018b314cb017ea4aabedf8d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2],vocabulary.en@spelling,eraser,eraser,elevenlabs|el:lily|0.75||eraser,https://audio.bigmooneducation.com/4f/4f3635d0f325bb5e0a205dfc739744d03506392e410315108831750fade0b2e8.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2],vocabulary.en@listenWord,eraser,eraser,elevenlabs|el:lily|0.75||eraser,https://audio.bigmooneducation.com/4f/4f3635d0f325bb5e0a205dfc739744d03506392e410315108831750fade0b2e8.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[0],chunks.en,a small eraser,a small eraser,elevenlabs|el:lily|0.85||a small eraser,https://audio.bigmooneducation.com/2c/2c192e951bd9c946fc0af19c407801a2e32076c68003f3df10341b0466dc17a9.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[1],chunks.en,my eraser,my eraser,elevenlabs|el:lily|0.85||my eraser,https://audio.bigmooneducation.com/f0/f0c5bd2f33f32203aa6440d784af787a1d0e42df95b8f81637ea3f18ecf4629b.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[2].chunks[2],chunks.en,a new eraser,a new eraser,elevenlabs|el:lily|0.85||a new eraser,https://audio.bigmooneducation.com/50/502286259e720f55a3f70a146b7d63c37bd4b7bc801848f58a3d3786d93ed441.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3],vocabulary.en,crayon,crayon,elevenlabs|el:lily|0.85||crayon,https://audio.bigmooneducation.com/46/463517cb39e894913113bcaff6efd7930efe27ce5569495ab0b62d606c125417.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3],vocabulary.en@spelling,crayon,crayon,elevenlabs|el:lily|0.75||crayon,https://audio.bigmooneducation.com/4a/4a8748fc9b81a55acaa5f59e719c18ed04c221d6c3cf1649e917e5e131f30a44.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3],vocabulary.en@listenWord,crayon,crayon,elevenlabs|el:lily|0.75||crayon,https://audio.bigmooneducation.com/4a/4a8748fc9b81a55acaa5f59e719c18ed04c221d6c3cf1649e917e5e131f30a44.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[0],chunks.en,a red crayon,a red crayon,elevenlabs|el:lily|0.85||a red crayon,https://audio.bigmooneducation.com/09/09efeeca13bea92eabddf27fa20ebca9d86eb68ebe5c81b02f92c11087ec72e1.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[1],chunks.en,my crayon,my crayon,elevenlabs|el:lily|0.85||my crayon,https://audio.bigmooneducation.com/e4/e4ca96a5b237aa71ee828f032b9ff33885c9780aba821ac9378b5746aa163bb5.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[3].chunks[2],chunks.en,a box of crayons,a box of crayons,elevenlabs|el:lily|0.85||a box of crayons,https://audio.bigmooneducation.com/fd/fd7bd0db6243f8fd1cfbea715d077675e2bd532be4e1d58ca57fb9c6588cf768.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4],vocabulary.en,bag,bag,elevenlabs|el:lily|0.85||bag,https://audio.bigmooneducation.com/33/3344cb83d781ff6ac295903eb03a6bbc8e5dbe38addb6c45741c5ab100c2aea1.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4],vocabulary.en@spelling,bag,bag,elevenlabs|el:lily|0.75||bag,https://audio.bigmooneducation.com/21/2198b5a9c9fe91e87755df5ceb7d8488d893167d1d60f0802ee15eb69148568d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4],vocabulary.en@listenWord,bag,bag,elevenlabs|el:lily|0.75||bag,https://audio.bigmooneducation.com/21/2198b5a9c9fe91e87755df5ceb7d8488d893167d1d60f0802ee15eb69148568d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[0],chunks.en,my bag,my bag,elevenlabs|el:lily|0.85||my bag,https://audio.bigmooneducation.com/c5/c5ac80b8ef3817ed4716e7cf88553d7ae06d29c156a6a9c2c50ded4fe1f3ede7.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[1],chunks.en,a new bag,a new bag,elevenlabs|el:lily|0.85||a new bag,https://audio.bigmooneducation.com/06/060b33da6b0e24898a706283bebfddab7a8f947d7f49e3cf0d81dddee595350f.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[4].chunks[2],chunks.en,a school bag,a school bag,elevenlabs|el:lily|0.85||a school bag,https://audio.bigmooneducation.com/e9/e960aa731304ca83164ed69e46c2f7e67c76ab5612e2334fd5a33b57004c272d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5],vocabulary.en,pen,pen,elevenlabs|el:lily|0.85||pen,https://audio.bigmooneducation.com/10/108e255ba088a844aecbce5f70806edfe99ee56ce8b02c1d818bfdebd8655757.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5],vocabulary.en@spelling,pen,pen,elevenlabs|el:lily|0.75||pen,https://audio.bigmooneducation.com/17/178d76a6d1dd03f1314dda274872bdf51daa4723244b91bbc41ef909a12021ee.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5],vocabulary.en@listenWord,pen,pen,elevenlabs|el:lily|0.75||pen,https://audio.bigmooneducation.com/17/178d76a6d1dd03f1314dda274872bdf51daa4723244b91bbc41ef909a12021ee.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5].chunks[0],chunks.en,a blue pen,a blue pen,elevenlabs|el:lily|0.85||a blue pen,https://audio.bigmooneducation.com/d8/d8c7d5a2adadf0b9e7fd68404f066a4d527669ce07b3a2f9bbc65dc1261e11b9.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5].chunks[1],chunks.en,my pen,my pen,elevenlabs|el:lily|0.85||my pen,https://audio.bigmooneducation.com/b5/b5700c9a3dae327b87f6efadcc81a595a736bd9765af77ecf58f5fce9568ceda.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[5].chunks[2],chunks.en,a new pen,a new pen,elevenlabs|el:lily|0.85||a new pen,https://audio.bigmooneducation.com/ed/ed785f28824829a962a055c769cf0e570b7bd5b9154423f3c278c162da8d40b6.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6],vocabulary.en,pencil box,pencil box,elevenlabs|el:lily|0.85||pencil box,https://audio.bigmooneducation.com/8a/8aa79de7b3910ebb407c99e5b2ff617b90b77cef6d80c9364917f6618b43bbeb.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6],vocabulary.en@spelling,pencil box,pencil box,elevenlabs|el:lily|0.75||pencil box,https://audio.bigmooneducation.com/3c/3c1824b2a1aecb56692bcf3fc487036b184d86a53d89f96447be15b0b9400373.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6],vocabulary.en@listenWord,pencil box,pencil box,elevenlabs|el:lily|0.75||pencil box,https://audio.bigmooneducation.com/3c/3c1824b2a1aecb56692bcf3fc487036b184d86a53d89f96447be15b0b9400373.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6].chunks[0],chunks.en,a new pencil box,a new pencil box,elevenlabs|el:lily|0.85||a new pencil box,https://audio.bigmooneducation.com/b1/b1c0f5026eda7dbc60c38169b3ea4bf2d287bc17c349c9b3b83a7f1158546b6a.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6].chunks[1],chunks.en,my pencil box,my pencil box,elevenlabs|el:lily|0.85||my pencil box,https://audio.bigmooneducation.com/2b/2b8083d78b3c68db821c4c85007fa6f86c8ae22b3afe4ad947e5ff672dd05702.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[6].chunks[2],chunks.en,open the pencil box,open the pencil box,elevenlabs|el:lily|0.85||open the pencil box,https://audio.bigmooneducation.com/01/01d49cdde2c7d587147e6b3d25385da25468d1223cce24227e0e8bed09e09544.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7],vocabulary.en,book,book,elevenlabs|el:lily|0.85||book,https://audio.bigmooneducation.com/01/01c04db7fcea990c2daed4429d900ef7c5b206692b89cbbf3dd8615708258d20.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7],vocabulary.en@spelling,book,book,elevenlabs|el:lily|0.75||book,https://audio.bigmooneducation.com/8a/8af9b96874ea68ed74cda3ef959915a69d663f10659ca24c4bb12053bef2ecbb.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7],vocabulary.en@listenWord,book,book,elevenlabs|el:lily|0.75||book,https://audio.bigmooneducation.com/8a/8af9b96874ea68ed74cda3ef959915a69d663f10659ca24c4bb12053bef2ecbb.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7].chunks[0],chunks.en,a new book,a new book,elevenlabs|el:lily|0.85||a new book,https://audio.bigmooneducation.com/45/45232ef03b9950665bd92c8bea0520843f3dcdea78f3029918d96b8a2714a18d.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7].chunks[1],chunks.en,my book,my book,elevenlabs|el:lily|0.85||my book,https://audio.bigmooneducation.com/aa/aa36ec887708b689ba90cb53878a374750ace3e9b3024f93990e0d2ae50b794e.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#vocab[7].chunks[2],chunks.en,read a book,read a book,elevenlabs|el:lily|0.85||read a book,https://audio.bigmooneducation.com/71/71dc83a67d30284297f5484acbaf703481e522986c2c74a8bd69cf2daffc10b0.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.A Let's talk.q0,dialogues.lines.text,Hello! I'm Mike.,Hello! I'm Mike.,elevenlabs|el:lily|0.85||Hello! I'm Mike.,https://audio.bigmooneducation.com/7f/7f91b51425e5190ac65f48a49b52b2a73ab84109937eee7712a26ad4f62ee010.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.A Let's talk.a1,dialogues.lines.text,Hi! I'm Sarah.,Hi! I'm Sarah.,elevenlabs|el:lily|0.85||Hi! I'm Sarah.,https://audio.bigmooneducation.com/c5/c5002ec6e7f7da377b0be090fbfa0baa9d3e5612732eb0b0ed11d73f140e9f50.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.B Let's talk.q0,dialogues.lines.text,"Hello, John.","Hello, John.","elevenlabs|el:lily|0.85||Hello, John.",https://audio.bigmooneducation.com/6d/6d8ebd850c7ab45d1b3556f8b7a42336106c0542adc0e595442a1c517e00b70a.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.B Let's talk.a1,dialogues.lines.text,"Hi, Sarah. I have a new pencil box.","Hi, Sarah. I have a new pencil box.","elevenlabs|el:lily|0.85||Hi, Sarah. I have a new pencil box.",https://audio.bigmooneducation.com/8a/8a9041c8cdb460d2bdda20068cac2c8ee422f1332ba09c93b2c878def3cbcf4a.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.B Let's talk.q2,dialogues.lines.text,"Oh, really? What's in it?","Oh, really? What's in it?","elevenlabs|el:lily|0.85||Oh, really? What's in it?",https://audio.bigmooneducation.com/bf/bfc8e2a8012dafcf96606213fa73fccb9fd0a352202639a4e01e90ae6b2df506.mp3
local_json:course,src/data/primaryHub/grade3.json,g3v1_u1#dialogue.B Let's talk.a3,dialogues.lines.text,"Look! An eraser, a crayon and a ruler.","Look! An eraser, a crayon and a ruler.","elevenlabs|el:lily|0.85||Look! An eraser, a crayon and a ruler.",https://audio.bigmooneducation.com/8f/8fa5c9c69453c3ba9112495edef253ed4711effe81b0ae11e2d1c7db01fab6c1.mp3
